Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1613541E-008, 5.77E-005
3.1615022E-008, 6.32E-005
3.1616504E-008, 7.11E-005
3.1617985E-008, 7.32E-005
3.1619467E-008, 5.89E-005
3.1620948E-008, 4.81E-005
3.1622430E-008, 5.72E-005
3.1623911E-008, 6.26E-005
3.1625393E-008, 6.54E-005
3.1626874E-008, 6.14E-005
3.1628356E-008, 7.70E-005
3.1629837E-008, 7.46E-005
3.1631319E-008, 4.74E-005
3.1632800E-008, 4.97E-005
3.1634281E-008, 5.95E-005
3.1635763E-008, 5.60E-005
3.1637244E-008, 4.83E-005
3.1638726E-008, 4.36E-005
3.1640207E-008, 5.44E-005
3.1641689E-008, 4.92E-005
3.1643170E-008, 4.38E-005
3.1644652E-008, 6.11E-005
3.1646133E-008, 5.90E-005
3.1647615E-008, 2.11E-005
3.1649096E-008, 3.64E-005
3.1650578E-008, 5.59E-005
3.1652059E-008, 5.20E-005
3.1653541E-008, 3.46E-005
3.1655022E-008, 6.85E-005
3.1656504E-008, 6.50E-005
3.1657985E-008, 7.56E-005
3.1659467E-008, 6.93E-005
3.1660948E-008, 3.07E-005
3.1662430E-008, 9.12E-005
3.1663911E-008, 5.91E-005
3.1665393E-008, 3.43E-005
3.1666874E-008, 8.28E-005
3.1668356E-008, 7.74E-005
3.1669837E-008, 8.99E-005
3.1671319E-008, 5.31E-005
3.1672800E-008, 7.15E-005
3.1674281E-008, 5.60E-005
3.1675763E-008, 8.59E-005
3.1677244E-008, 8.05E-005
3.1678726E-008, 3.80E-005
3.1680207E-008, 6.72E-005
3.1681689E-008, 7.95E-005
3.1683170E-008, 6.92E-005
3.1684652E-008, 6.89E-005
3.1686133E-008, 8.38E-005
3.1687615E-008, 9.26E-005
3.1689096E-008, 6.33E-005
3.1690578E-008, 5.27E-005
3.1692059E-008, 5.34E-005
3.1693541E-008, 6.87E-005
3.1695022E-008, 5.59E-005
3.1696504E-008, 4.05E-005
3.1697985E-008, 3.75E-005
3.1699467E-008, 4.29E-005
3.1700948E-008, 3.84E-005
3.1702430E-008, 4.34E-005
3.1703911E-008, 4.44E-005
3.1705393E-008, 3.50E-005
3.1706874E-008, 3.47E-005
3.1708356E-008, 4.15E-005
3.1709837E-008, 3.87E-005
3.1711319E-008, 3.72E-005
3.1712800E-008, 5.98E-005
3.1714281E-008, 3.11E-005
3.1715763E-008, 5.15E-005
3.1717244E-008, 3.11E-005
3.1718726E-008, 3.74E-005
3.1720207E-008, 4.72E-005
3.1721689E-008, 7.39E-005
3.1723170E-008, 5.98E-005
3.1724652E-008, 4.05E-005
3.1726133E-008, 7.05E-005
3.1727615E-008, 7.20E-005
3.1729096E-008, 7.73E-005
3.1730578E-008, 4.17E-005
3.1732059E-008, 9.98E-005
3.1733541E-008, 5.32E-005
3.1735022E-008, 2.47E-005
3.1736504E-008, 6.09E-005
3.1737985E-008, 4.01E-005
3.1739467E-008, 6.84E-005
3.1740948E-008, 5.77E-005
3.1742430E-008, 7.51E-005
3.1743911E-008, 5.23E-005
3.1745393E-008, 6.65E-005
3.1746874E-008, 7.20E-005
3.1748356E-008, 5.90E-005
3.1749837E-008, 8.17E-005
3.1751319E-008, 5.44E-005
3.1752800E-008, 7.12E-005
3.1754281E-008, 4.85E-005
3.1755763E-008, 6.34E-005
3.1757244E-008, 6.01E-005
3.1758726E-008, 6.54E-005
3.1760207E-008, 7.05E-005
3.1761689E-008, 4.87E-005
3.1763170E-008, 8.25E-005
3.1764652E-008, 8.91E-005
3.1766133E-008, 5.78E-005
3.1767615E-008, 5.62E-005
3.1769096E-008, 5.46E-005
3.1770578E-008, 6.17E-005
3.1772059E-008, 5.74E-005
3.1773541E-008, 7.16E-005
3.1775022E-008, 9.07E-005
3.1776504E-008, 7.55E-005
