Type:          average
Points:        1350
Count:         32
XInc:          1.481481E-012
XOrg:          3.1056800000E-008
YData range:   1.96198E-003
YData center:  4.72000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1056800000E-008
YRange:        1.60000E-003
YOffset:       4.72000E-004
Date:          03 APR 2011
Time:          17:41:23:04
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1781244E-008, 1.75212E-004
3.1782726E-008, 1.81766E-004
3.1784207E-008, 1.88878E-004
3.1785689E-008, 1.93392E-004
3.1787170E-008, 1.99977E-004
3.1788652E-008, 2.17632E-004
3.1790133E-008, 1.71594E-004
3.1791615E-008, 2.18900E-004
3.1793096E-008, 1.74531E-004
3.1794578E-008, 2.02946E-004
3.1796059E-008, 1.90083E-004
3.1797541E-008, 1.77098E-004
3.1799022E-008, 2.21775E-004
3.1800504E-008, 2.25331E-004
3.1801985E-008, 2.11696E-004
3.1803467E-008, 1.83621E-004
3.1804948E-008, 2.26196E-004
3.1806430E-008, 1.98060E-004
3.1807911E-008, 1.92588E-004
3.1809393E-008, 2.21651E-004
3.1810874E-008, 2.41718E-004
3.1812356E-008, 2.35379E-004
3.1813837E-008, 2.17941E-004
3.1815319E-008, 2.32535E-004
3.1816800E-008, 2.48025E-004
3.1818281E-008, 2.37667E-004
3.1819763E-008, 2.49509E-004
3.1821244E-008, 2.63515E-004
3.1822726E-008, 2.60671E-004
3.1824207E-008, 2.75419E-004
3.1825689E-008, 2.65370E-004
3.1827170E-008, 2.56620E-004
3.1828652E-008, 2.68957E-004
3.1830133E-008, 2.64659E-004
3.1831615E-008, 2.83025E-004
3.1833096E-008, 2.98392E-004
3.1834578E-008, 2.63701E-004
3.1836059E-008, 2.67102E-004
3.1837541E-008, 3.31320E-004
3.1839022E-008, 3.27084E-004
3.1840504E-008, 3.14748E-004
3.1841985E-008, 3.14222E-004
3.1843467E-008, 3.41678E-004
3.1844948E-008, 3.38802E-004
3.1846430E-008, 3.39111E-004
3.1847911E-008, 3.06925E-004
3.1849393E-008, 3.87716E-004
3.1850874E-008, 3.13233E-004
3.1852356E-008, 3.05225E-004
3.1853837E-008, 3.80048E-004
3.1855319E-008, 3.67278E-004
3.1856800E-008, 3.45264E-004
3.1858281E-008, 3.94672E-004
3.1859763E-008, 3.58281E-004
3.1861244E-008, 3.81656E-004
3.1862726E-008, 3.61342E-004
3.1864207E-008, 3.49098E-004
3.1865689E-008, 4.02309E-004
3.1867170E-008, 4.18294E-004
3.1868652E-008, 4.55891E-004
3.1870133E-008, 4.06885E-004
3.1871615E-008, 4.38299E-004
3.1873096E-008, 3.84438E-004
3.1874578E-008, 4.09730E-004
3.1876059E-008, 4.30754E-004
3.1877541E-008, 4.25436E-004
3.1879022E-008, 4.45657E-004
3.1880504E-008, 4.36969E-004
3.1881985E-008, 4.52305E-004
3.1883467E-008, 4.09142E-004
3.1884948E-008, 4.64209E-004
3.1886430E-008, 3.92446E-004
3.1887911E-008, 4.03577E-004
3.1889393E-008, 4.80224E-004
3.1890874E-008, 4.09915E-004
3.1892356E-008, 4.79915E-004
3.1893837E-008, 4.36134E-004
3.1895319E-008, 4.46059E-004
3.1896800E-008, 4.39103E-004
3.1898281E-008, 4.74875E-004
3.1899763E-008, 4.24818E-004
3.1901244E-008, 4.33413E-004
3.1902726E-008, 4.21664E-004
3.1904207E-008, 3.90004E-004
3.1905689E-008, 4.27663E-004
3.1907170E-008, 4.27075E-004
3.1908652E-008, 3.90900E-004
3.1910133E-008, 3.71885E-004
3.1911615E-008, 4.42906E-004
3.1913096E-008, 5.06196E-004
3.1914578E-008, 4.25498E-004
3.1916059E-008, 4.09915E-004
3.1917541E-008, 4.27477E-004
3.1919022E-008, 3.80666E-004
3.1920504E-008, 3.76832E-004
3.1921985E-008, 3.73710E-004
3.1923467E-008, 4.26055E-004
3.1924948E-008, 4.15821E-004
3.1926430E-008, 3.46625E-004
3.1927911E-008, 3.43038E-004
3.1929393E-008, 4.18851E-004
3.1930874E-008, 4.06298E-004
3.1932356E-008, 3.68855E-004
3.1933837E-008, 3.66475E-004
3.1935319E-008, 3.12892E-004
3.1936800E-008, 3.77111E-004
3.1938281E-008, 3.19695E-004
3.1939763E-008, 3.49191E-004
3.1941244E-008, 3.27981E-004
3.1942726E-008, 3.30733E-004
3.1944207E-008, 3.39204E-004
3.1945689E-008, 3.19416E-004
3.1947170E-008, 3.16726E-004
3.1948652E-008, 2.74770E-004
3.1950133E-008, 3.09120E-004
3.1951615E-008, 2.99474E-004
3.1953096E-008, 3.20498E-004
3.1954578E-008, 2.64536E-004
3.1956059E-008, 2.66329E-004
3.1957541E-008, 2.48953E-004
3.1959022E-008, 2.36678E-004
3.1960504E-008, 1.97504E-004
3.1961985E-008, 2.23537E-004
3.1963467E-008, 2.18250E-004
3.1964948E-008, 2.23352E-004
3.1966430E-008, 1.87146E-004
3.1967911E-008, 1.93979E-004
3.1969393E-008, 1.81148E-004
3.1970874E-008, 1.77685E-004
3.1972356E-008, 1.73356E-004
3.1973837E-008, 1.63339E-004
3.1975319E-008, 1.47601E-004
3.1976800E-008, 1.39624E-004
3.1978281E-008, 1.23175E-004
3.1979763E-008, 1.63122E-004
3.1981244E-008, 1.09911E-004
3.1982726E-008, 1.10839E-004
3.1984207E-008, 1.25402E-004
3.1985689E-008, 9.6956E-005
3.1987170E-008, 9.7667E-005
3.1988652E-008, 8.4434E-005
3.1990133E-008, 8.5022E-005
3.1991615E-008, 7.2623E-005
3.1993096E-008, 6.6749E-005
3.1994578E-008, 6.5017E-005
3.1996059E-008, 6.7058E-005
3.1997541E-008, 6.5450E-005
3.1999022E-008, 6.0503E-005
3.2000504E-008, 6.9501E-005
3.2001985E-008, 6.3100E-005
3.2003467E-008, 5.4690E-005
3.2004948E-008, 6.1122E-005
3.2006430E-008, 6.2698E-005
3.2007911E-008, 2.7946E-005
3.2009393E-008, 4.4704E-005
3.2010874E-008, 4.1952E-005
3.2012356E-008, 2.3092E-005
3.2013837E-008, 3.7994E-005
3.2015319E-008, 3.9293E-005
3.2016800E-008, 3.3295E-005
3.2018281E-008, 1.6351E-005
3.2019763E-008, 1.3259E-005
3.2021244E-008, 3.829E-006
3.2022726E-008, 9.456E-006
3.2024207E-008, 1.3105E-005
3.2025689E-008, 1.7588E-005
3.2027170E-008, 1.0477E-005
3.2028652E-008, 1.294E-006
3.2030133E-008, 7.663E-006
3.2031615E-008, 1.4280E-005
3.2033096E-008, 1.1497E-005
3.2034578E-008, 4.788E-006
3.2036059E-008, 1.4280E-005
3.2037541E-008, 1.3630E-005
3.2039022E-008, 1.3352E-005
3.2040504E-008, 1.5578E-005
3.2041985E-008, 1.5300E-005
3.2043467E-008, 1.3476E-005
3.2044948E-008, 2.5349E-005
3.2046430E-008, 2.4143E-005
3.2047911E-008, 2.1020E-005
3.2049393E-008, 3.3388E-005
3.2050874E-008, 3.5923E-005
3.2052356E-008, 4.0066E-005
3.2053837E-008, 4.1766E-005
3.2055319E-008, 3.7747E-005
3.2056800E-008, 4.9372E-005
3.2058281E-008, 4.0344E-005
3.2059763E-008, 5.1320E-005
3.2061244E-008, 6.0441E-005
3.2062726E-008, 6.5728E-005
3.2064207E-008, 6.3348E-005
3.2065689E-008, 6.5265E-005
3.2067170E-008, 6.9470E-005
3.2068652E-008, 7.4046E-005
3.2070133E-008, 7.2871E-005
3.2071615E-008, 7.4571E-005
3.2073096E-008, 8.9752E-005
3.2074578E-008, 9.6678E-005
3.2076059E-008, 8.3878E-005
3.2077541E-008, 9.8471E-005
3.2079022E-008, 1.00048E-004
3.2080504E-008, 1.11674E-004
3.2081985E-008, 1.04408E-004
3.2083467E-008, 1.04933E-004
3.2084948E-008, 1.28091E-004
3.2086430E-008, 1.43149E-004
3.2087911E-008, 1.28988E-004
3.2089393E-008, 1.47014E-004
3.2090874E-008, 1.30905E-004
3.2092356E-008, 1.49333E-004
3.2093837E-008, 1.66245E-004
3.2095319E-008, 1.66554E-004
3.2096800E-008, 1.59783E-004
3.2098281E-008, 1.72305E-004
3.2099763E-008, 1.64081E-004
3.2101244E-008, 2.03626E-004
3.2102726E-008, 1.83652E-004
3.2104207E-008, 1.45220E-004
3.2105689E-008, 2.05945E-004
3.2107170E-008, 1.76974E-004
3.2108652E-008, 1.88352E-004
3.2110133E-008, 2.13798E-004
3.2111615E-008, 2.17879E-004
3.2113096E-008, 2.07522E-004
3.2114578E-008, 2.27990E-004
3.2116059E-008, 2.11510E-004
3.2117541E-008, 2.15591E-004
3.2119022E-008, 2.66082E-004
3.2120504E-008, 2.53034E-004
3.2121985E-008, 3.05194E-004
3.2123467E-008, 3.06028E-004
