Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.0940800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0940800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:22:15:12
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1537837E-008, -4.3867E-005
3.1539319E-008, -4.9081E-005
3.1540800E-008, -4.1747E-005
3.1542281E-008, -3.7127E-005
3.1543763E-008, -3.4838E-005
3.1545244E-008, -3.5050E-005
3.1546726E-008, -3.8695E-005
3.1548207E-008, -3.1446E-005
3.1549689E-008, -4.2638E-005
3.1551170E-008, -3.5601E-005
3.1552652E-008, -3.0090E-005
3.1554133E-008, -3.2464E-005
3.1555615E-008, -4.7428E-005
3.1557096E-008, -4.2722E-005
3.1558578E-008, -5.3829E-005
3.1560059E-008, -3.6533E-005
3.1561541E-008, -3.8865E-005
3.1563022E-008, -4.4503E-005
3.1564504E-008, -4.3782E-005
3.1565985E-008, -4.6156E-005
3.1567467E-008, -3.5516E-005
3.1568948E-008, -4.5181E-005
3.1570430E-008, -4.5859E-005
3.1571911E-008, -4.7216E-005
3.1573393E-008, -5.4634E-005
3.1574874E-008, -2.5300E-005
3.1576356E-008, -3.9374E-005
3.1577837E-008, -4.8233E-005
3.1579319E-008, -3.7720E-005
3.1580800E-008, -4.6029E-005
3.1582281E-008, -4.5859E-005
3.1583763E-008, -3.6533E-005
3.1585244E-008, -3.8992E-005
3.1586726E-008, -4.3146E-005
3.1588207E-008, -4.1451E-005
3.1589689E-008, -3.2209E-005
3.1591170E-008, -3.1997E-005
3.1592652E-008, -3.9840E-005
3.1594133E-008, -5.1709E-005
3.1595615E-008, -3.7127E-005
3.1597096E-008, -3.3057E-005
3.1598578E-008, -3.6406E-005
3.1600059E-008, -4.4842E-005
3.1601541E-008, -3.0514E-005
3.1603022E-008, -3.1616E-005
3.1604504E-008, -3.4583E-005
3.1605985E-008, -3.9416E-005
3.1607467E-008, -4.4969E-005
3.1608948E-008, -3.7254E-005
3.1610430E-008, -3.3057E-005
3.1611911E-008, -3.5219E-005
3.1613393E-008, -4.4164E-005
3.1614874E-008, -5.3235E-005
3.1616356E-008, -3.1277E-005
3.1617837E-008, -3.9585E-005
3.1619319E-008, -3.5897E-005
3.1620800E-008, -4.1663E-005
3.1622281E-008, -3.7339E-005
3.1623763E-008, -4.5605E-005
3.1625244E-008, -4.2256E-005
3.1626726E-008, -4.0730E-005
3.1628207E-008, -2.4155E-005
3.1629689E-008, -3.6237E-005
3.1631170E-008, -3.5728E-005
3.1632652E-008, -3.4795E-005
3.1634133E-008, -3.6321E-005
3.1635615E-008, -2.8055E-005
3.1637096E-008, -2.1824E-005
3.1638578E-008, -2.8267E-005
3.1640059E-008, -2.4070E-005
3.1641541E-008, -3.7466E-005
